label,lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,predicted,pred_idx,confidence
A,0.0,0.0,0.0,0.2638126213154247,-0.1868363892251918,-0.1199684905476332,0.4192004990880783,-0.4731918482385518,-0.1457356026703198,0.4160118108274158,-0.7704094327268893,-0.1703140424358952,0.3603470721732809,-1.0,-0.1792552761111032,0.2483196231687657,-0.6874331529260028,0.0036219596336134,0.1802711093595626,-0.9110686275762802,-0.151168751764774,0.1307456663413436,-0.6902908583684578,-0.2389540843708829,0.132573262556057,-0.4902725771576139,-0.2601865061901667,0.0712346826954167,-0.6553781020749226,0.0260336004150635,-0.0173788548955001,-0.8549925485564155,-0.160334997070438,-0.0197556747400458,-0.5806945007330724,-0.2165279645673322,0.0265549415076046,-0.377426646379054,-0.1973584774041092,-0.0849495273509195,-0.6021466592425601,0.0181172420327885,-0.1688349864060065,-0.7477896491343311,-0.1681160850554704,-0.1302726537885867,-0.486672181122448,-0.15676075266692,-0.0604503953935127,-0.3060253700482122,-0.0841533914274381,-0.231118384171904,-0.5315338421402485,0.0014383416517541,-0.2884355175426273,-0.6780475908258764,-0.1179256715219367,-0.2491438785092557,-0.5008303307069992,-0.0987356685152208,-0.1860431536826024,-0.3673856795134731,-0.0415824322619578,A,0,0.7258809523809524
H,0.0,0.0,0.0,0.0614243253010915,-0.3179224293862986,-0.1214020904813731,-0.1351839644167224,-0.5808339965041902,-0.0966628669331575,-0.4213721568555446,-0.652873160680514,-0.0633391541489102,-0.5991778174162624,-0.5647220795366149,-0.0221008014602804,-0.2781006055194027,-0.7018331393455948,0.0586329584436183,-0.5445796362584355,-0.8581282728433437,0.0438481272510169,-0.7185641339585724,-0.9249124144240892,0.0290592148006539,-0.8638592334207659,-0.9925121218078792,0.0118849147743212,-0.3938461252535313,-0.5671935198989323,0.0821590460531534,-0.6681284788480218,-0.7097556986044079,0.024937685013833,-0.8507528575311951,-0.8085523233968918,-0.0320302391901044,-1.0,-0.8841457120350172,-0.0601642260042376,-0.4380362559276726,-0.408022381960439,0.0822088048597415,-0.6613389453187453,-0.4294004054709468,-0.0916906739260311,-0.4455515081109863,-0.3451856930646734,-0.1643931115883437,-0.274733660582214,-0.2866192348359285,-0.1534178205059727,-0.4546553474559989,-0.228693294413377,0.0781081711826341,-0.6038901744277436,-0.2525416946750926,-0.095373259454919,-0.4718755471999262,-0.2225139377839002,-0.1552948002221252,-0.3431569948216693,-0.211989561832528,-0.1614165539130796,H,7,0.7504523809523809
J,0.0,0.0,0.0,-0.2276531676381691,-0.2875353117452781,0.1077918086998628,-0.243770751121394,-0.5681430991654685,0.1874575572482771,-0.2103837627590259,-0.8049897631981936,0.263172167813644,-0.1947100688476718,-1.0,0.3512946810577239,0.2070894667678001,-0.7303511465101713,0.2314647381559495,0.4595909372713554,-0.943345577128226,0.4891896275511499,0.5164547017288622,-0.9435086375407636,0.7089224303325755,0.5302083692644611,-0.9026202973289358,0.8603355415875683,0.3832051976153148,-0.611696981500568,0.2741837539564219,0.5427296313058771,-0.7973004917313893,0.6011127115049377,0.5230783604666982,-0.8066670651314811,0.8356993752324778,0.4815684880553517,-0.7767332841854818,0.9801026768056889,0.4849637832459966,-0.4452098178512942,0.3287581106416046,0.539153516647864,-0.5855617634321341,0.6268037275254627,0.4648270635218823,-0.5698774106159256,0.7923236042390834,0.3871599637923599,-0.527623428599234,0.8658423415261911,0.5554442118561845,-0.2654470055655628,0.3875897797478121,0.5823366635235628,-0.3698728866572853,0.6110399363564625,0.5127020033897748,-0.3668889488109914,0.7343152747736537,0.4374127074317929,-0.3234456135542523,0.8083674433773217,J,9,0.5229484126984127
O,0.0,0.0,0.0,-0.2261276157697538,-0.0100724828825436,-0.547051490671149,-0.3857852880977273,-0.1871476897946404,-0.8051627353132789,-0.4750694466208687,-0.3662020417899232,-0.9184396042249682,-0.5322152894462546,-0.5166832319515847,-1.0,0.0682806015382928,-0.4500120081084872,-0.8598766242787935,-0.1305063462455612,-0.7452996130466079,-0.992523582303103,-0.3297789923891155,-0.7454383118802437,-0.9846999006171204,-0.435042054744586,-0.6670812364719946,-0.9640027360635172,0.1070526114944631,-0.5018922479268385,-0.5986536596436289,-0.1076663580406678,-0.7989299489295896,-0.7328746534866483,-0.304795218849218,-0.732505685464219,-0.7014893842210547,-0.365725479425505,-0.6227974805622194,-0.6742131490439857,0.0750573943333346,-0.5440251501263125,-0.3512267451049125,-0.1471540530167153,-0.7774494929910228,-0.4696673025920568,-0.2851071009324143,-0.672364822964479,-0.4619312302924095,-0.3134143572191451,-0.5701552987373528,-0.4545285256521823,0.0143669776752919,-0.5962621746025171,-0.1379844649545527,-0.1565418170949691,-0.7302142335949471,-0.2564564935412342,-0.2740961109134851,-0.6682227069561966,-0.2999246454932591,-0.3050316007060923,-0.5885043682509358,-0.325517501413349,O,14,0.4935000000000001
P,0.0,0.0,0.0,-0.1802435698227982,0.0414399712377677,-0.2474712394153873,-0.4228828352287754,0.0070931549193335,-0.228689770392642,-0.6089297639513356,-0.0127547275852948,-0.1388803924998887,-0.7747564301772017,-0.0255455319359957,-0.0278247235300395,-0.4774624355329278,-0.2778897778365511,-0.0634949486275666,-0.7174881810367627,-0.2654015141496958,-0.0269629620086166,-0.8681307028563872,-0.2314593940095212,-0.0119219146149872,-1.0,-0.2030035456889711,-0.0043299838210091,-0.4630356139248876,-0.229253091113462,0.0959326736532453,-0.6783627843163185,-0.0669557078153927,0.1019070459257922,-0.7496200575244645,0.1110980478048135,0.0545774342572521,-0.7779699484263423,0.2438982329410209,0.0362564166486499,-0.4541915994445913,-0.1613653382041787,0.2325359098176198,-0.6200165300185136,-0.0422850684342766,0.1735618247541445,-0.5526829873049458,0.0505256132636868,0.0613482744780932,-0.4986043292118487,0.0785091163052102,0.0188622010186909,-0.4591887480163977,-0.1222123363528167,0.3568771059297594,-0.5549223915630785,-0.0007802581988891,0.2704460815645121,-0.4946946492330071,0.054685475072732,0.1801575087663106,-0.4347849444591378,0.0596477039804284,0.145367718945496,P,15,0.7868333333333334
P,0.0,0.0,0.0,-0.1704475744296769,0.0299905996247664,-0.2388425016922367,-0.4144096974622568,-0.0088024729466513,-0.2263891413267194,-0.5975109844703327,-0.0398661219854165,-0.145811958450185,-0.7579774166323148,-0.0588264215991773,-0.04423544702321,-0.4586875975610471,-0.2875014164056898,-0.0822360701196096,-0.7093765079836439,-0.2903036203980653,-0.056190409636612,-0.8629510275290656,-0.2672204812913973,-0.0485319183170624,-1.0,-0.2460255167927104,-0.0471840536381827,-0.4531341476200802,-0.2455438574555362,0.0667548252815978,-0.6675037705696295,-0.0965729413113116,0.0622934577060871,-0.7415379121333544,0.0744347238855492,0.0157350630440155,-0.76955356195098,0.2087554059483829,-0.0031347553252562,-0.4470649306417066,-0.1818025081125857,0.1946762586825279,-0.611062527310581,-0.0715107008635841,0.1385682879490512,-0.553757887100419,0.0194100084202876,0.0425865535586559,-0.5063214023132673,0.05290470617885,0.0068441308813821,-0.4417118939655908,-0.1482665799240285,0.3092849082325016,-0.5384278596905268,-0.0388986517771495,0.2337685062546132,-0.4815033697430998,0.0166483836369,0.1592275621176536,-0.422714393351815,0.0292318457491874,0.1322378499443142,P,15,0.7741666666666667
Q,0.0,0.0,0.0,-0.1894567044610265,-0.0066208999580062,-0.1931126976476758,-0.4378346739025099,-0.033058603869884,-0.2055151139024809,-0.6312110346609814,0.0145284362179797,-0.1655149588486966,-0.7817891397745259,0.0460874632554834,-0.1046383881215589,-0.4346275414284329,-0.4081717995929838,-0.0909661782821042,-0.7161624188390348,-0.3153407371515327,-0.1232915521878444,-0.8851438576089414,-0.2369220790128242,-0.1577934871298608,-1.0,-0.1863422941499499,-0.1767600924210712,-0.4116596311012049,-0.3717532319023161,0.0169741163200858,-0.6352502374261072,-0.2254158477888684,-0.0406544749516781,-0.5430690570791743,-0.1349362793552346,-0.0769798746997157,-0.4306912426914753,-0.1402237167684207,-0.0767408140672255,-0.4045588913654424,-0.3104530283942242,0.1060651232005975,-0.5979995477597958,-0.1805134089220531,0.0267743860490647,-0.5095145912071584,-0.1060059308072487,-0.0243163268753141,-0.4266775204315663,-0.121410317537229,-0.0267593333035856,-0.3893977323384049,-0.2668867913557515,0.1835411383183415,-0.5247000419937332,-0.1615644926833995,0.1036302813231546,-0.4540555738605162,-0.0951117485544464,0.0642841108285976,-0.3646169331653584,-0.0888486093613722,0.0647084219698581,Q,16,0.758
Q,0.0,0.0,0.0,-0.1963282399052398,0.0017474562593369,-0.2071376722322968,-0.4578074757643833,0.004778783671862,-0.2243674758675881,-0.6482978644133901,0.076447401561339,-0.1848056079338519,-0.8100267436372787,0.1175556610851307,-0.1208725213099112,-0.4385564499995717,-0.3850195168699103,-0.1140047013417316,-0.7080069639710505,-0.29650755201788,-0.1524738442142787,-0.8749839397871155,-0.2186496368066605,-0.1931161408008115,-1.0,-0.1680745090882281,-0.2180771535666379,-0.402194183725262,-0.3522490104675541,-0.0047017083243311,-0.6271644371894467,-0.2045285780354512,-0.0629172889595531,-0.5211724446736504,-0.1221856266861909,-0.0987577001283283,-0.4112940514232646,-0.1532450931156035,-0.0997013969237003,-0.3884116965748775,-0.3010376224379395,0.0844782279591224,-0.5876108325472478,-0.169589226916922,0.0103585711558218,-0.4841710804554526,-0.0999233471328112,-0.0316192741779039,-0.4095795957813229,-0.1439747047114739,-0.0311814248239357,-0.3672222523793682,-0.2681363221873398,0.1593400168542781,-0.5033753378293697,-0.1664191182455736,0.0895806199941607,-0.4275295144016954,-0.1048777487399203,0.0621809706414851,-0.3407543909607315,-0.117530122390777,0.0679093431377406,Q,16,0.7358333333333335
T,0.0,0.0,0.0,0.2554387436556746,-0.1459082577274182,-0.1660885861905633,0.3892922165700039,-0.4654215123325432,-0.2214408642286123,0.3068158830308066,-0.7560371088017906,-0.2597050930482783,0.2550792026980129,-1.0,-0.2779871087079488,0.3711396555685519,-0.6965917906828902,-0.0890907717271562,0.4098106339800264,-0.9253149794403824,-0.2849601501401688,0.3286002471741083,-0.759221683093898,-0.3916086948713624,0.2568719634548178,-0.5628296450171647,-0.4229001225936732,0.1590834150128538,-0.7009806486486931,-0.0574217092652235,0.1093928770514125,-0.8530845331879788,-0.2914027210255638,0.096898760105566,-0.5485866455941057,-0.3517250897330305,0.1275131645138842,-0.3243475560759606,-0.3272070538374391,-0.0399816274295966,-0.6770108852466942,-0.0584975253703237,-0.1059015668047836,-0.7866903101239895,-0.2892321538613765,-0.0646294098185993,-0.4841776571800315,-0.2675372972884171,-0.0017016395095136,-0.2897015686450621,-0.1803972656988024,-0.2301251650242182,-0.6209044364030688,-0.0698388675540228,-0.2633514600755036,-0.7197554022814233,-0.2302440728226574,-0.2119274210681937,-0.5000758084830517,-0.2089623862157504,-0.1561610117246333,-0.3722248704835414,-0.1415265947648872,T,19,0.7166666666666666
V,0.0,0.0,0.0,0.1506235552957807,-0.0802692205452688,-0.1483734951762054,0.2142786277599544,-0.2389027288814719,-0.1929849073186218,0.0935273472827211,-0.3564605882986473,-0.2242073685281226,-0.0389829282296061,-0.4009389023603955,-0.2487470910171084,0.2145731367073312,-0.4743279759665026,-0.0711998603224288,0.2533821768539755,-0.6763149831496944,-0.1316806706670159,0.2576470059788488,-0.8074119049061673,-0.1794775627626971,0.2618444814578538,-0.9267919976219126,-0.2144475733652991,0.0897293292990178,-0.5008366731459568,-0.0473002948234103,0.0611460092241844,-0.7123925157785478,-0.1284561265320236,0.0243349095672355,-0.8679264503784375,-0.2027420787677472,0.0026557113442896,-1.0,-0.2476500988284988,-0.0213262912391237,-0.4741052051821074,-0.0413185890811342,-0.0676902275223882,-0.5990573194918792,-0.1769451193184201,-0.0736444950498568,-0.488761060002723,-0.2444106403387513,-0.0679240062433658,-0.3835592362488366,-0.2516586202774399,-0.1235318106278549,-0.4217673176881635,-0.0445549107753937,-0.1733347009295223,-0.5357185852730507,-0.1579937670750376,-0.1655761579661288,-0.4675203134911078,-0.1934312068491473,-0.1492877701777926,-0.382960609731473,-0.1948985508024341,V,21,0.6633333333333333
